# KR dynamic universe — built 2026-07-22
# Filters: mcap ≥ ₩500억, daily vol ≥ ₩5억
# Count: 1830 종목
ticker,name_ko,market,market_cap_krw,avg_dollar_vol_60d,market_cap_tier
015860,일진홀딩스,KOSPI,275358955140,0,small
017390,서울가스,KOSPI,272745000000,0,small
003960,사조대림,KOSPI,271726446550,0,small
001390,KG케미칼,KOSPI,270949110900,0,small
033270,유나이티드제약,KOSPI,270164959500,0,small
003120,일성아이에스,KOSPI,269325000000,0,small
244920,에이플러스에셋,KOSPI,267901162050,0,small
123890,한국자산신탁,KOSPI,266775158680,0,small
084690,대상홀딩스,KOSPI,265800028920,0,small
005680,삼영전자,KOSPI,262000000000,0,small
058430,포스코스틸리온,KOSPI,261000000000,0,small
272450,진에어,KOSPI,260478000000,0,small
002900,TYM,KOSPI,259992000000,0,small
084010,대한제강,KOSPI,256412106160,0,small
001230,동국홀딩스,KOSPI,252855544590,0,small
005430,한국공항,KOSPI,252675129000,0,small
317400,자이에스앤디,KOSPI,250922904400,0,small
078520,에이블씨엔씨,KOSPI,249735945600,0,small
003650,미창석유,KOSPI,246685489600,0,small
003920,남양유업,KOSPI,246300000000,0,small
286940,롯데이노베이트,KOSPI,245700920080,0,small
001750,한양증권,KOSPI,242478572700,0,small
122900,아이마켓코리아,KOSPI,241021936400,0,small
004360,세방,KOSPI,239327349560,0,small
334890,이지스밸류플러스리츠,KOSPI,237861739275,0,small
005500,삼진제약,KOSPI,234165600000,0,small
298690,에어부산,KOSPI,234108671064,0,small
008490,서흥,KOSPI,233696082600,0,small
348950,제이알글로벌리츠,KOSPI,233298432000,0,small
900140,엘브이엠씨홀딩스,KOSPI,233241201424,0,small
044450,KSS해운,KOSPI,232013094000,0,small
000050,경방,KOSPI,228095046400,0,small
002710,TCC스틸,KOSPI,227797026930,0,small
404990,신한서부티엔디리츠,KOSPI,227246470500,0,small
007160,사조산업,KOSPI,227000000000,0,small
003200,일신방직,KOSPI,226615200000,0,small
136490,선진,KOSPI,226381830080,0,small
000680,LS네트웍스,KOSPI,224982610680,0,small
002320,한진,KOSPI,224244001200,0,small
0030R0,대신밸류리츠,KOSPI,223876100000,0,small
001340,PKC,KOSPI,223114180995,0,small
432320,KB스타리츠,KOSPI,222829613230,0,small
298000,효성화학,KOSPI,222579305700,0,small
003070,코오롱글로벌,KOSPI,220934203710,0,small
134380,미원화학,KOSPI,219047092800,0,small
001790,대한제당,KOSPI,218192044950,0,small
000430,대원강업,KOSPI,217620000000,0,small
025000,KPX케미칼,KOSPI,216746095500,0,small
003520,영진약품,KOSPI,216544993504,0,small
000480,CR홀딩스,KOSPI,216165158900,0,small
000650,천일고속,KOSPI,214525922000,0,small
025560,미래산업,KOSPI,212542069000,0,small
034120,SBS,KOSPI,211855137960,0,small
000320,노루홀딩스,KOSPI,210797654860,0,small
001250,GS글로벌,KOSPI,209635760560,0,small
009680,모토닉,KOSPI,209072364280,0,small
004310,현대약품,KOSPI,208320000000,0,small
033920,무학,KOSPI,205485000000,0,small
475560,더본코리아,KOSPI,205219104800,0,small
030210,다올투자증권,KOSPI,201311205330,0,small
226320,잇츠한불,KOSPI,201311111700,0,small
035150,백산,KOSPI,199490187110,0,small
001460,BYC,KOSPI,198627570000,0,small
000540,흥국화재,KOSPI,198509773050,0,small
005010,휴스틸,KOSPI,198343904750,0,small
037270,YG PLUS,KOSPI,197355641000,0,small
017860,DS단석,KOSPI,197304034290,0,small
039570,HDC랩스,KOSPI,194941583510,0,small
003720,삼영,KOSPI,194140000000,0,small
117580,대성에너지,KOSPI,193050000000,0,small
013890,지누스,KOSPI,192508638140,0,small
028100,동아지질,KOSPI,191469878600,0,small
000140,하이트진로홀딩스,KOSPI,191455811250,0,small
053210,스카이라이프,KOSPI,191279893875,0,small
004980,성신양회,KOSPI,190489887210,0,small
000490,대동,KOSPI,189104234400,0,small
088260,이리츠코크렙,KOSPI,188757938200,0,small
095570,AJ네트웍스,KOSPI,188704005030,0,small
001630,종근당홀딩스,KOSPI,187869787500,0,small
241590,화승엔터프라이즈,KOSPI,186917916460,0,small
484870,엠앤씨솔루션,KOSPI,186739560000,0,small
100250,진양홀딩스,KOSPI,185629500000,0,small
001130,대한제분,KOSPI,185224000000,0,small
011500,한농화성,KOSPI,184673466020,0,small
044820,코스맥스비티아이,KOSPI,182282420580,0,small
102460,이연제약,KOSPI,181593143470,0,small
016580,환인제약,KOSPI,181536683200,0,small
128820,대성산업,KOSPI,181168089390,0,small
002100,경농,KOSPI,176288852250,0,small
003460,유화증권,KOSPI,175777486500,0,small
102260,동성케미컬,KOSPI,175570132815,0,small
377190,디앤디플랫폼리츠,KOSPI,175208800000,0,small
339770,교촌에프앤비,KOSPI,175127605400,0,small
000300,DH오토넥스,KOSPI,174035631000,0,small
007860,서연,KOSPI,173516047160,0,small
016450,한세예스24홀딩스,KOSPI,173400000000,0,small
010580,에스엠벡셀,KOSPI,172662731520,0,small
234080,JW생명과학,KOSPI,171963256440,0,small
004380,삼익THK,KOSPI,170568000000,0,small
035510,신세계 I&C,KOSPI,170147553000,0,small
003220,대원제약,KOSPI,169776803310,0,small
002170,SYTS,KOSPI,169500000000,0,small
053690,한미글로벌,KOSPI,167869666000,0,small
001080,만호제강,KOSPI,167452500000,0,small
013580,계룡건설,KOSPI,167365197180,0,small
033530,SJG세종,KOSPI,166369346780,0,small
002150,도화엔지니어링,KOSPI,165059400000,0,small
092200,디아이씨,KOSPI,164887532560,0,small
003350,한국화장품제조,KOSPI,164285000000,0,small
003610,방림,KOSPI,163764967800,0,small
400760,NH올원리츠,KOSPI,162590654000,0,small
213500,한솔제지,KOSPI,162319928320,0,small
004560,현대비앤지스틸,KOSPI,161343277700,0,small
487570,HS효성,KOSPI,160960046400,0,small
000860,강남제비스코,KOSPI,159250000000,0,small
462520,조선내화,KOSPI,158622147840,0,small
000390,SP삼화,KOSPI,158324189580,0,small
101530,해태제과식품,KOSPI,157813175240,0,small
014710,사조씨푸드,KOSPI,155827814150,0,small
015230,대창단조,KOSPI,152547144400,0,small
000700,유수홀딩스,KOSPI,152344600200,0,small
001780,알루코,KOSPI,150764515524,0,small
016880,웅진,KOSPI,150182983320,0,small
007570,일양약품,KOSPI,150013319040,0,small
004090,한국석유,KOSPI,149663674800,0,small
000970,한국주철관,KOSPI,148887265000,0,small
293480,하나제약,KOSPI,148581828560,0,small
003830,대한화섬,KOSPI,148204800000,0,small
009470,삼화전기,KOSPI,147818877000,0,small
031440,신세계푸드,KOSPI,147735112000,0,small
090350,노루페인트,KOSPI,147600000000,0,small
004970,신라교역,KOSPI,146080000000,0,small
071840,롯데하이마트,KOSPI,145187428800,0,small
005960,동부건설,KOSPI,144334510270,0,small
271980,제일약품,KOSPI,143960696880,0,small
00279K,아모레퍼시픽홀딩스3우C,KOSPI,143617050000,0,small
460850,동국씨엠,KOSPI,139327736960,0,small
094280,효성ITX,KOSPI,137542580000,0,small
003480,한진중공업홀딩스,KOSPI,137313625800,0,small
000020,동화약품,KOSPI,137143517700,0,small
008350,남선알미늄,KOSPI,136952914490,0,small
000520,삼일제약,KOSPI,136007654970,0,small
